Year-Month,Volume
1990-01,3793250000
1990-02,2961970000
1990-03,3283280000
1990-04,2801220000
1990-05,3596680000
1990-06,3226280000
1990-07,3373540000
1990-08,4020730000
1990-09,2687280000
1990-10,3671900000
1990-11,3149770000
1990-12,3116830000
1991-01,3660240000
1991-02,4303170000
1991-03,3927920000
1991-04,4017200000
1991-05,3739700000
1991-06,3258730000
1991-07,3481570000
1991-08,3713820000
1991-09,3260990000
1991-10,4082380000
1991-11,3737620000
1991-12,4155310000
1992-01,5286280000
1992-02,4267610000
1992-03,4066240000
1992-04,4315840000
1992-05,3643980000
1992-06,4259830000
1992-07,4265220000
1992-08,3653820000
1992-09,4023850000
1992-10,4507010000
1992-11,4148770000
1992-12,4876150000
1993-01,5280850000
1993-02,5442450000
1993-03,5766950000
1993-04,5853170000
1993-05,5108640000
1993-06,5544400000
1993-07,5308530000
1993-08,5506200000
1993-09,5552720000
1993-10,5940460000
1993-11,5876610000
1993-12,5791210000
1994-01,6627390000
1994-02,5853100000
1994-03,7225010000
1994-04,5735010000
1994-05,5675970000
1994-06,5852670000
1994-07,4980100000
1994-08,6398750000
1994-09,6152870000
1994-10,6344700000
1994-11,6251240000
1994-12,6351530000
1995-01,6852060000
1995-02,6330100000
1995-03,7792400000
1995-04,6307030000
1995-05,7555690000
1995-06,7555650000
1995-07,7307960000
1995-08,7146620000
1995-09,7052830000
1995-10,8043320000
1995-11,7602150000
1995-12,7697540000
1996-01,9188050000
1996-02,8749960000
1996-03,8984200000
1996-04,8875580000
1996-05,8921140000
1996-06,7930840000
1996-07,8849860000
1996-08,7380320000
1996-09,8064070000
1996-10,9703670000
1996-11,8763850000
1996-12,9089170000
1997-01,11635830000
1997-02,9715930000
1997-03,10120760000
1997-04,10454880000
1997-05,10106650000
1997-06,10857950000
1997-07,11958120000
1997-08,10606100000
1997-09,11383000000
1997-10,14017260000
1997-11,10173620000
1997-12,11958880000
1998-01,12733830000
1998-02,11656550000
1998-03,13719590000
1998-04,13656060000
1998-05,11477140000
1998-06,13551970000
1998-07,14194800000
1998-08,15071550000
1998-09,16714080000
1998-10,18001650000
1998-11,13451280000
1998-12,15181450000
1999-01,16213500000
1999-02,14555860000
1999-03,18002500000
1999-04,18523200000
1999-05,15880260000
1999-06,16079170000
1999-07,15332930000
1999-08,15818550000
1999-09,16438700000
1999-10,18832000000
1999-11,18384820000
1999-12,19640690000
